Weekday,Arrival_date,Departure_date,Ship,Pier
Do,12.06.14,12.06.14,AIDAcara,Ostseekai
Do,12.06.14,12.06.14,Costa Pacifica,Ostseekai
Fr,13.06.14,13.06.14,Mein Schiff 1,Ostseekai
Fr,13.06.14,13.06.14,Artania,Ostseekai
Fr,13.06.14,27.06.14,Azores,Ostuferhafen
Sa,14.06.14,14.06.14,MSC Orchestra,Ostseekai
Sa,14.06.14,14.06.14,Ocean Majesty,Norwegenkai
So,15.06.14,15.06.14,Europa 2,Ostseekai
Do,19.06.14,19.06.14,Europa 2,Ostseekai
Sa,21.06.14,21.06.14,MSC Orchestra,Ostseekai
Sa,21.06.14,21.06.14,Ocean Majesty,Norwegenkai
So,22.06.14,22.06.14,Mein Schiff 2,Ostseekai
So,22.06.14,22.06.14,Delphin,Norwegenkai
Mo,23.06.14,23.06.14,Costa Pacifica,Ostseekai
Di,24.06.14,24.06.14,Eurodam,Ostseekai
Mi,25.06.14,25.06.14,Artania,Ostseekai
Mi,25.06.14,25.06.14,Amadea,Ostseekai
Fr,27.06.14,27.06.14,Mein Schiff 1,Ostseekai
Sa,28.06.14,28.06.14,Adonia,Norwegenkai
Sa,28.06.14,28.06.14,Braemar,Ostseekai
Sa,28.06.14,28.06.14,MSC Orchestra,Ostseekai
So,29.06.14,29.06.14,AIDAcara,Ostseekai
Mo,30.06.14,30.06.14,Mein Schiff 2,Ostseekai
Mi,02.07.14,02.07.14,Mein Schiff 1,Ostseekai
Do,03.07.14,03.07.14,Ocean Majesty,Norwegenkai
Sa,05.07.14,05.07.14,MSC Orchestra,Ostseekai
So,06.07.14,06.07.14,Eurodam,Ostseekai
Mi,09.07.14,09.07.14,Europa,Ostseekai
Mi,09.07.14,09.07.14,Costa Pacifica,Ostseekai
Do,10.07.14,10.07.14,Azores,Norwegenkai
Sa,12.07.14,12.07.14,MSC Orchestra,Ostseekai
So,13.07.14,13.07.14,Deutschland,Ostseekai
Mo,14.07.14,14.07.14,Mein Schiff 2,Ostseekai
Mi,16.07.14,16.07.14,AIDAcara,Ostseekai
Do,17.07.14,17.07.14,Ocean Majesty,Norwegenkai
Fr,18.07.14,18.07.14,Eurodam,Ostseekai
Sa,19.07.14,19.07.14,MSC Orchestra,Ostseekai
So,20.07.14,20.07.14,Costa Pacifica,Ostseekai
Di,22.07.14,22.07.14,Mein Schiff 2,Ostseekai
Di,22.07.14,22.07.14,Hamburg,Ostseekai
Sa,26.07.14,26.07.14,MSC Orchestra,Ostseekai
Di,29.07.14,29.07.14,Europa,Ostseekai
Do,31.07.14,31.07.14,Ocean Majesty,Norwegenkai
Fr,01.08.14,01.08.14,Mein Schiff 2,Ostseekai
Sa,02.08.14,02.08.14,AIDAcara,Ostseekai
Sa,02.08.14,02.08.14,MSC Orchestra,Ostseekai
So,03.08.14,03.08.14,Hamburg,Ostseekai
So,03.08.14,03.08.14,Costa Pacifica,Ostseekai
Di,05.08.14,05.08.14,Eurodam,Ostseekai
Sa,09.08.14,09.08.14,Mein Schiff 2,Ostseekai
Sa,09.08.14,09.08.14,MSC Orchestra,Ostseekai
Do,14.08.14,14.08.14,Costa Pacifica,Ostseekai
Sa,16.08.14,16.08.14,AIDAcara,Ostseekai
Sa,16.08.14,16.08.14,MSC Orchestra,Ostseekai
So,17.08.14,17.08.14,Mein Schiff 2,Ostseekai
Mo,18.08.14,18.08.14,Astor,Norwegenkai
Di,19.08.14,19.08.14,Europa,Ostseekai
Sa,23.08.14,23.08.14,MSC Orchestra,Ostseekai
Mo,25.08.14,25.08.14,Eurodam,Ostseekai
Mo,25.08.14,25.08.14,Costa Pacifica,Ostseekai
Mi,27.08.14,27.08.14,Mein Schiff 2,Ostseekai
Sa,30.08.14,30.08.14,AIDAcara,Ostseekai
Sa,30.08.14,30.08.14,MSC Orchestra,Ostseekai
Do,04.09.14,04.09.14,Costa Pacifica,Ostseekai
Sa,06.09.14,06.09.14,Mein Schiff 2,Ostseekai
Sa,06.09.14,06.09.14,AIDAcara,Schwedenkai
Sa,06.09.14,06.09.14,MSC Orchestra,Ostseekai
Sa,13.09.14,13.09.14,AIDAcara,Ostseekai
Mo,15.09.14,15.09.14,Adonia,Norwegenkai
Sa,20.09.14,20.09.14,AIDAcara,Ostseekai
Mo,22.09.14,22.09.14,Astor,Norwegenkai
Sa,27.09.14,27.09.14,AIDAcara,Ostseekai
Sa,04.10.14,04.10.14,AIDAcara,Ostseekai
Mo,06.10.14,06.10.14,Astor,Norwegenkai
Sa,11.10.14,11.10.14,AIDAcara,Ostseekai
Sa,18.10.14,18.10.14,AIDAcara,Ostseekai
So,09.04.17,09.04.17,AIDAcara,Ostseekai
So,16.04.17,16.04.17,AIDAcara,Ostseekai
So,23.04.17,23.04.17,AIDAcara,Ostseekai
Di,25.04.17,25.04.17,Astor,Norwegenkai
Sa,29.04.17,29.04.17,MSC Fantasia,Ostseekai
So,30.04.17,30.04.17,AIDAcara,Ostseekai
Sa,06.05.17,06.05.17,MSC Fantasia,Ostseekai
Sa,06.05.17,06.05.17,Zuiderdam,Ostseekai
So,07.05.17,07.05.17,AIDAcara,Ostseekai
Do,11.05.17,11.05.17,Mein Schiff 6,Ostseekai
Fr,12.05.17,12.05.17,Le Soleal,Norwegenkai
Sa,13.05.17,13.05.17,MSC Fantasia,Ostseekai
Di,16.05.17,16.05.17,Mein Schiff 6,Ostseekai
Mi,17.05.17,17.05.17,Ocean Majesty,Norwegenkai
Do,18.05.17,18.05.17,AIDAluna,Ostseekai
Fr,19.05.17,19.05.17,Mein Schiff 3,Ostseekai
Fr,19.05.17,19.05.17,Mein Schiff 6,Ostseekai
Sa,20.05.17,20.05.17,MSC Fantasia,Ostseekai
So,21.05.17,21.05.17,AIDAcara,Ostseekai
Mo,22.05.17,22.05.17,AIDAluna,Ostseekai
Di,23.05.17,23.05.17,Mein Schiff 6,Ostseekai
Di,23.05.17,23.05.17,AIDAvita,Ostseekai
Fr,26.05.17,26.05.17,Hamburg,Ostseekai
Sa,27.05.17,27.05.17,Mein Schiff 3,Ostseekai
Sa,27.05.17,27.05.17,AIDAvita,Ostseekai
Sa,27.05.17,27.05.17,MSC Fantasia,Ostuferhafen
