Feature 1,Feature 2,Feature 3,R²,Adjustiertes R²
Broetchen,Temp_Warm,Weather_Unknown,0.4248788165665399,0.42339781781091734
Broetchen,Croissant,Heimspiel,0.4248776040123633,0.42339660213428354
Broetchen,Croissant,Freitag,0.4248738440347738,0.42339283247434834
Broetchen,Croissant,Temp_Very_Cold,0.4248738186209613,0.4233928069950925
Broetchen,Temp_Warm,is_holiday,0.4243787785990969,0.4233914351661623
Broetchen,Temp_Warm,Cloud_Cloudy,0.42486137980432104,0.42338033614716475
Broetchen,Temp_Warm,Weather_Light_Issues,0.4247216627301613,0.42324025928654807
Broetchen,Temp_Warm,Cloud_Clear,0.4247139099984081,0.4232324865906787
Broetchen,Temp_Warm,Wind_Moderate,0.42467720342332516,0.4231956854922264
Broetchen,Temp_Hot,KielerWoche,0.42461837524027835,0.4231367058202963
Broetchen,Temp_Mild,Cloud_Cloudy,0.42460406982395493,0.42312236356599087
Broetchen,Temp_Warm,Wind_Strong,0.4245881035569059,0.4231063561840911
Broetchen,Cloud_Cloudy,KielerWoche,0.42456534936642676,0.42308354339913
Broetchen,Temp_Warm,Sonntag,0.4245653138054202,0.42308350774655
Broetchen,Weather_Unknown,KielerWoche,0.42456035574570306,0.4230785369192972
Broetchen,Temp_Hot,Feiertag,0.42452850084055205,0.42304659998434746
Broetchen,Temp_Hot,Cloud_Cloudy,0.42452175797997715,0.4230398397601831
Broetchen,Temp_Mild,Weather_Unknown,0.4245090442533487,0.4230270932943444
Broetchen,Temp_Mild,Cloud_Clear,0.42446348620504926,0.4229814179291824
Broetchen,Temp_Hot,Weather_Unknown,0.42446313277146386,0.4229810635854676
Broetchen,Temp_Warm,Weather_Severe,0.4244444340068839,0.42296231666956263
Broetchen,Temp_Hot,is_holiday,0.42394972535454367,0.4229616459812239
Broetchen,Temp_Warm,Samstag,0.42444186672315887,0.4229597427748065
Broetchen,Temp_Warm,Donnerstag,0.42443889922545175,0.4229567676354744
Broetchen,Cloud_Clear,KielerWoche,0.4244382081464505,0.4229560747768706
Broetchen,Temp_Warm,Wind_Light,0.4244364472710508,0.4229543093670277
Broetchen,Temp_Mild,Weather_Light_Issues,0.4244313316299311,0.42294918055258324
Broetchen,Temp_Warm,Cloud_Partly_Cloudy,0.42442733868577553,0.4229451773261681
Broetchen,Temp_Warm,Montag,0.42441836919470755,0.42293618473769823
Broetchen,Temp_Warm,Weather_Moderate,0.42441448580491126,0.42293229134775656
Broetchen,Temp_Warm,VPI,0.4244090799883351,0.4229268716106227
Broetchen,Temp_Warm,Heimspiel,0.424386410824373,0.4229041440711311
Broetchen,Temp_Warm,Mittwoch,0.4243853896226304,0.42290312023968435
Broetchen,Temp_Very_Cold,Temp_Warm,0.42438486202460146,0.422902591283034
Broetchen,Temp_Warm,Freitag,0.4243823826547626,0.42290010552855173
Broetchen,Temp_Hot,Markt,0.42438220228078616,0.42289992469009297
Broetchen,Temp_Hot,Weather_Light_Issues,0.4243813575680975,0.4228990778021784
Broetchen,Weather_Unknown,Feiertag,0.42438007268513034,0.42289778961049984
Broetchen,Temp_Warm,Dienstag,0.42437958427067646,0.42289729993832625
